provincia_nombre,casos,prop_masc,prop_joven,edad_media,anio,mes,region,cluster_territorial,perfil_dominante,lag1,lag2,lag3,roll3_mean,roll3_std,umbral_alerta,alerta
Catamarca,3,1.0,0.6666666666666666,33.666666666666664,2022,10,NOA,2,1,7.0,4.0,6.0,5.666666666666667,1.5275252316519465,4.600000000000001,0
Catamarca,4,0.75,0.75,32.0,2022,11,NOA,2,1,3.0,7.0,4.0,4.666666666666667,2.0816659994661326,4.600000000000001,0
Catamarca,6,1.0,0.5,34.5,2022,12,NOA,2,1,4.0,3.0,7.0,4.666666666666667,2.0816659994661326,4.600000000000001,1
Chaco,8,0.75,0.875,24.5,2017,4,NEA,2,1,7.0,8.0,9.0,8.0,1.0,10.600000000000001,0
Chaco,10,0.9,0.4,36.5,2017,5,NEA,2,1,8.0,7.0,8.0,7.666666666666667,0.5773502691896257,10.600000000000001,0
Chaco,11,0.8181818181818182,0.45454545454545453,33.36363636363637,2017,6,NEA,2,1,10.0,8.0,7.0,8.333333333333334,1.5275252316519465,10.600000000000001,1
Chaco,8,0.875,0.75,28.25,2017,7,NEA,2,1,11.0,10.0,8.0,9.666666666666666,1.5275252316519465,10.600000000000001,0
Chaco,13,0.8461538461538461,0.6923076923076923,31.615384615384617,2017,8,NEA,2,1,8.0,11.0,10.0,9.666666666666666,1.5275252316519465,10.600000000000001,1
Chaco,5,1.0,0.8,23.0,2017,9,NEA,2,1,13.0,8.0,11.0,10.666666666666666,2.516611478423583,10.600000000000001,0
Chaco,9,0.7777777777777778,0.7777777777777778,26.444444444444443,2017,10,NEA,2,1,5.0,13.0,8.0,8.666666666666666,4.041451884327381,10.600000000000001,0
Chaco,7,0.8571428571428571,0.42857142857142855,45.57142857142857,2017,11,NEA,2,1,9.0,5.0,13.0,9.0,4.0,10.600000000000001,0
Chaco,5,1.0,0.8,27.0,2017,12,NEA,2,1,7.0,9.0,5.0,7.0,2.0,10.600000000000001,0
Chaco,6,1.0,0.3333333333333333,43.666666666666664,2018,1,NEA,2,1,5.0,7.0,9.0,7.0,2.0,10.600000000000001,0
Chaco,3,1.0,0.6666666666666666,38.666666666666664,2018,2,NEA,2,1,6.0,5.0,7.0,6.0,1.0,10.600000000000001,0
Chaco,10,0.9,0.6,35.0,2018,3,NEA,2,1,3.0,6.0,5.0,4.666666666666667,1.5275252316519468,10.600000000000001,0
Chaco,15,0.8,0.4666666666666667,37.0,2018,4,NEA,2,1,10.0,3.0,6.0,6.333333333333333,3.5118845842842465,10.600000000000001,1
Chaco,9,1.0,0.4444444444444444,29.77777777777778,2018,5,NEA,2,1,15.0,10.0,3.0,9.333333333333334,6.027713773341708,10.600000000000001,0
Chaco,11,0.9090909090909091,0.6363636363636364,30.636363636363637,2018,6,NEA,2,1,9.0,15.0,10.0,11.333333333333334,3.2145502536643185,10.600000000000001,1
Chaco,9,0.6666666666666666,0.5555555555555556,32.0,2018,7,NEA,2,1,11.0,9.0,15.0,11.666666666666666,3.055050463303893,10.600000000000001,0
Chaco,7,0.7142857142857143,0.2857142857142857,39.142857142857146,2018,8,NEA,2,1,9.0,11.0,9.0,9.666666666666666,1.15470053837925,10.600000000000001,0
Chaco,10,0.7,0.4,39.0,2018,9,NEA,2,1,7.0,9.0,11.0,9.0,1.9999999999999991,10.600000000000001,0
Chaco,10,0.8,0.8,26.0,2018,10,NEA,2,1,10.0,7.0,9.0,8.666666666666666,1.5275252316519456,10.600000000000001,0
